bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),services-minimal.yml,3,40,4560,3,0.013649,0.000385,0.029381,0.043415
Small (<100 lines),services-minimal.yml,3,40,4560,4,0.014907,0.000382,0.028193,0.043482
Small (<100 lines),services-minimal.yml,3,40,4560,5,0.014437,0.000345,0.027658,0.04244
Small (<100 lines),services-minimal.yml,3,40,4560,6,0.013934,0.000406,0.027299,0.041639
Small (<100 lines),services-minimal.yml,3,40,4560,7,0.014154,0.000369,0.02768,0.042203
Small (<100 lines),services-minimal.yml,3,40,4560,8,0.013696,0.000361,0.027628,0.041685
Small (<100 lines),services-minimal.yml,3,40,4560,9,0.013334,0.000358,0.026933,0.040625
Small (<100 lines),services-minimal.yml,3,40,4560,10,0.013598,0.000354,0.026892,0.040844
Small (<100 lines),services-minimal.yml,3,40,4560,11,0.013601,0.000355,0.026992,0.040948
Small (<100 lines),services-minimal.yml,3,40,4560,12,0.013675,0.000356,0.028028,0.042059
Small (<100 lines),services-minimal.yml,3,40,4560,13,0.013956,0.000349,0.027239,0.041544
Small (<100 lines),services-minimal.yml,3,40,4560,14,0.014062,0.000367,0.027907,0.042336
Small (<100 lines),services-minimal.yml,3,40,4560,15,0.01412,0.000356,0.027653,0.042129
Small (<100 lines),services-minimal.yml,3,40,4560,16,0.013739,0.000526,0.028901,0.043166
Small (<100 lines),services-minimal.yml,3,40,4560,17,0.013423,0.000363,0.027317,0.041103
Small (<100 lines),services-minimal.yml,3,40,4560,18,0.01344,0.00035,0.026784,0.040574
Small (<100 lines),services-minimal.yml,3,40,4560,19,0.013271,0.000359,0.026864,0.040494
Small (<100 lines),services-minimal.yml,3,40,4560,20,0.013817,0.000372,0.026632,0.040821
Small (<100 lines),services-minimal.yml,3,40,4560,21,0.013676,0.000348,0.026747,0.040771
Small (<100 lines),services-minimal.yml,3,40,4560,22,0.013488,0.000358,0.02714,0.040986
Small (<100 lines),services-minimal.yml,3,40,4560,23,0.013679,0.000353,0.026834,0.040866
Small (<100 lines),services-minimal.yml,3,40,4560,24,0.013385,0.000345,0.026731,0.040461
Small (<100 lines),services-minimal.yml,3,40,4560,25,0.013238,0.000349,0.027011,0.040598
Small (<100 lines),services-minimal.yml,3,40,4560,26,0.013165,0.000343,0.027534,0.041042
Small (<100 lines),services-minimal.yml,3,40,4560,27,0.013238,0.000364,0.027498,0.0411
Small (<100 lines),services-minimal.yml,3,40,4560,28,0.01315,0.000348,0.028978,0.042476
Small (<100 lines),services-minimal.yml,3,40,4560,29,0.013053,0.000372,0.027395,0.04082
Small (<100 lines),sysctls.yml,10,200,4612,0,0.199496,0.008494,0.261082,0.469072
Small (<100 lines),sysctls.yml,10,200,4612,1,0.083518,0.001588,0.142283,0.227389
Small (<100 lines),sysctls.yml,10,200,4612,2,0.077689,0.001492,0.128697,0.207878
Small (<100 lines),sysctls.yml,10,200,4612,3,0.078056,0.001472,0.129068,0.208596
Small (<100 lines),sysctls.yml,10,200,4612,4,0.077791,0.001487,0.125966,0.205244
Small (<100 lines),sysctls.yml,10,200,4612,5,0.076597,0.001426,0.126336,0.204359
Small (<100 lines),sysctls.yml,10,200,4612,6,0.0769,0.001522,0.125287,0.203709
Small (<100 lines),sysctls.yml,10,200,4612,7,0.079321,0.001505,0.134011,0.214837
Small (<100 lines),sysctls.yml,10,200,4612,8,0.081799,0.001565,0.13353,0.216894
Small (<100 lines),sysctls.yml,10,200,4612,9,0.081823,0.001568,0.132537,0.215928
Small (<100 lines),sysctls.yml,10,200,4612,10,0.081198,0.001567,0.132353,0.215118
Small (<100 lines),sysctls.yml,10,200,4612,11,0.082852,0.001633,0.136926,0.221411
Small (<100 lines),sysctls.yml,10,200,4612,12,0.083641,0.001534,0.142106,0.227281
Small (<100 lines),sysctls.yml,10,200,4612,13,0.088113,0.001599,0.143091,0.232803
