bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,5,0.19588,0.001217,0.141528,0.338625
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,6,0.193594,0.001234,0.133808,0.328636
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,7,0.19895,0.001171,0.139417,0.339538
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,8,0.186292,0.001255,0.130736,0.318283
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,9,0.182795,0.001074,0.128077,0.311946
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,10,0.191462,0.001113,0.130725,0.3233
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,11,0.197776,0.001072,0.137361,0.336209
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,12,0.23031,0.001708,0.123233,0.355251
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,13,0.141083,0.000607,0.080028,0.221718
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,14,0.133637,0.000413,0.072161,0.206211
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,15,0.133309,0.000368,0.07148,0.205157
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,16,0.131411,0.000351,0.070344,0.202106
