experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,yamlcpp-careful,env,quoted-scalar-types.yml,app,OK,0.0023,7,False
modification,yamlcpp-naive,env,quoted-scalar-types.yml,app,OK,0.0026,9,False
modification,composemorph,env,similar-looking-env-keys.yml,app,OK,0.0024,1,True
modification,yamlcpp-careful,env,similar-looking-env-keys.yml,app,OK,0.0025,3,True
modification,yamlcpp-naive,env,similar-looking-env-keys.yml,app,OK,0.0026,3,False
modification,composemorph,env,unicode-and-special-chars.yml,app,OK,0.0028,1,
modification,yamlcpp-careful,env,unicode-and-special-chars.yml,app,OK,0.0026,2,
modification,yamlcpp-naive,env,unicode-and-special-chars.yml,app,OK,0.0026,2,
modification,composemorph,env,environment-long.yml,api,OK,0.0041,1,True
modification,yamlcpp-careful,env,environment-long.yml,api,OK,0.0027,3,False
modification,yamlcpp-naive,env,environment-long.yml,api,OK,0.0027,3,False
modification,composemorph,env,environment-short.yml,api,OK,0.0047,1,True
modification,yamlcpp-careful,env,environment-short.yml,api,OK,0.0034,1,True
modification,yamlcpp-naive,env,environment-short.yml,api,OK,0.0031,3,False
modification,composemorph,env,preservation-standard-markers.yml,app,OK,0.0045,5,
modification,yamlcpp-careful,env,preservation-standard-markers.yml,app,OK,0.0038,7,
modification,yamlcpp-naive,env,preservation-standard-markers.yml,app,OK,0.0034,7,
