file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
stackroute__quizart-analytics__docker-compose.yml.back.yml,5898,0.008,True,True,True,210,210,False,83,0.395238,83,0.395238,not requested,
steedos__docker__ee_node-red_docker-compose.yml.yml,741,0.0047,True,True,True,24,15,False,10,0.416667,10,0.416667,not requested,
stratosphereips__stratocyberlab__classes_class10_docker-compose.yml.yml,1172,0.0052,True,True,True,55,46,False,15,0.272727,15,0.272727,not requested,
studoo-app__ecole-directe-api__docker-compose.yml.yml,186,0.0038,True,True,True,8,8,True,0,0.0,0,0.0,not requested,
svitorz__meetingfaces__docker-compose.yml.yml,1144,0.0046,True,True,True,50,43,False,48,0.96,48,0.96,not requested,
swinslow__peridot-jobrunner-testing__docker-compose.yml.yml,1611,0.0048,True,True,True,64,56,False,9,0.140625,9,0.140625,not requested,
swipswaps__lecds-preview__docker-compose.yml.yml,443,0.0038,True,True,True,18,17,False,1,0.055556,1,0.055556,not requested,
switcherapi__switcher-slack-app__docker-compose.yml.yml,948,0.0037,True,True,True,34,16,False,19,0.558824,19,0.558824,not requested,
tabordasolutions__nics-docker__build-docker-compose.yml.yml,193,0.0033,True,True,True,16,12,False,4,0.25,4,0.25,not requested,
tangfeixiong__go-to-docker__docker-compose.yml.sed.yml,1492,0.0041,True,True,True,58,39,False,44,0.758621,44,0.758621,not requested,
tasken__dsi-wifi-manager__docker-compose.yml.yml,154,0.0034,True,True,True,9,7,False,2,0.222222,2,0.222222,not requested,
tauhid-476__gh-actions-and-cicd__docker-compose.yml.yml,165,0.0034,True,True,True,10,7,False,4,0.4,4,0.4,not requested,
tdenmon__rust-api-server__docker-compose.yml.yml,321,0.0036,True,True,True,20,19,False,2,0.1,2,0.1,not requested,
thackmaster__homelab__glances_docker-compose.yml.yml,391,0.0035,True,True,True,17,16,False,1,0.058824,1,0.058824,not requested,
theexperiencecompany__gaia__infra_docker_docker-compose.yml.yml,26221,0.0193,True,True,True,746,534,False,234,0.313673,234,0.313673,not requested,
thoughtless__async_rack_test__docker-compose.yml.yml,122,0.0032,True,True,True,8,8,True,0,0.0,0,0.0,not requested,
tinht00__VibeCode__story-tts_docker-compose.yml.yml,2112,0.0044,True,True,True,62,56,False,6,0.096774,6,0.096774,not requested,
trammell__test__docker_postgrest_docker-compose.yml.yml,863,0.0037,True,True,True,35,32,False,6,0.171429,6,0.171429,not requested,
tzolov__playground-flight-booking__docker-compose.yml-old.yml,417,0.0035,True,True,True,20,17,False,3,0.15,3,0.15,not requested,
