op,file,service,before,after,total_lines,actual_changed_lines,expected_changed_lines,locality_ratio,baseline_noise_changed_lines,incremental_changed_lines,adjusted_locality_ratio,elapsed_s,status
image,EBiM-Benchmark__benchmark__task3_isaacsim_docker-compose.yml.yml,position_controller,ros:jazzy-ros-base,ros:cm-test-9.9,84,15,1,0.066667,14,1,1.0,0.0068,OK
image,EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,nginx,nginx:latest,nginx:cm-test-9.9,17,2,1,0.5,1,1,1.0,0.0037,OK
image,EgeOzdemirr__WebProject__docker-compose.yml.yml,mongodb,mongo:6,mongo:cm-test-9.9,56,10,1,0.1,9,1,1.0,0.0061,OK
image,EldarTechWizard__medication-reminder__docker-compose.yml.yml,db,postgres:latest,postgres:cm-test-9.9,95,13,1,0.076923,12,1,1.0,0.0068,OK
image,ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,grafana,grafana/grafana:latest,grafana/grafana:cm-test-9.9,37,5,1,0.2,4,1,1.0,0.0061,OK
image,EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,jicofo,jitsi/jicofo:${JITSI_JICOFO_IMAGE_TAG},jitsi/jicofo:cm-test-9.9,505,924,1,0.001082,924,0,1.0,0.0137,OK
image,EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,app,epicmorg/fisheye:1.6.0.beta1,epicmorg/fisheye:cm-test-9.9,9,1,1,1.0,0,1,1.0,0.0031,OK
image,Erfan-ffa__UrlShortner-DistributedSystem-__docker-compose.yml.yml,mongo-replica-container,mongo,mongo:cm-test-9.9,73,15,1,0.066667,14,1,1.0,0.0054,OK
image,EviL345__praktika_bot__docker-compose.yml.yml,bot,press-bot:latest,press-bot:cm-test-9.9,48,7,1,0.142857,6,1,1.0,0.0051,OK
image,EvilFreelancer__docker-nextcloud__docker-compose.yml.dist.yml,certbot,certbot/certbot:latest,certbot/certbot:cm-test-9.9,59,32,1,0.03125,31,1,1.0,0.0049,OK
image,Fayer00__metric_proyect__docker-compose.yml.yml,db,postgres:13,postgres:cm-test-9.9,26,4,1,0.25,3,1,1.0,0.0044,OK
image,Felix-gg-cloud__ClaudeWorkspace__projects_LinguaLeap_docker-compose.yml.yml,minio,minio/minio,minio/minio:cm-test-9.9,35,5,1,0.2,4,1,1.0,0.0052,OK
image,FtHalima__Smart-Internship-Freelance-Matching-Platform__smart-match-backend_docker-compose.yml.yml,mongo-express,mongo-express:1.0.2,mongo-express:cm-test-9.9,45,5,1,0.2,4,1,1.0,0.0051,OK
image,GenessyX__open-gallery__docker-compose.yml.yml,minio,minio/minio:latest,minio/minio:cm-test-9.9,68,13,1,0.076923,12,1,1.0,0.0046,OK
image,GetxoUdala__decidim-getxo__docker-compose.yml.old.yml,app,decidim-production-app:latest,decidim-production-app:cm-test-9.9,91,5,1,0.2,4,1,1.0,0.0057,OK
image,Grazziano__api-adote-um-amigo__docker-compose.yml.yml,db,postgres:15,postgres:cm-test-9.9,40,9,1,0.111111,8,1,1.0,0.0046,OK
image,Guilher0__agro_monitor__docker-compose.yml.yml,app,agro_monitor_app,agro_monitor_app:cm-test-9.9,128,19,1,0.052632,18,1,1.0,0.0076,OK
image,Gustav0Prado__trab-seguranca__docker-compose.yml.yml,attacker,seed-image-ubuntu-mitnick,seed-image-ubuntu-mitnick:cm-test-9.9,46,43,1,0.023256,43,0,1.0,0.0055,OK
image,GustavAT__Votor__docker-compose.yml.old.yml,votor,${DOCKER_REGISTRY}votor,${DOCKER_REGISTRY}votor:cm-test-9.9,8,3,1,0.333333,2,1,1.0,0.0054,OK
image,HachimouAkram__examenQualiteLogiciel__docker-compose.yml.yml,db,postgres:16-alpine,postgres:cm-test-9.9,37,9,1,0.111111,8,1,1.0,0.0047,OK
image,Hamada-khairi__Hamada-HomeLab__docker-compose.yml.yml,adguardhome-sync,lscr.io/linuxserver/adguardhome-sync:latest,lscr.io/linuxserver/adguardhome-sync:cm-test-9.9,775,219,1,0.004566,218,1,1.0,0.0167,OK
image,Heretek-AI__heretek-stacks__arcane-repo_templates_chiefonboarding_docker-compose.yml.yml,chiefonboarding,docker.io/chiefonboarding/chiefonboarding:latest,docker.io/chiefonboarding/chiefonboarding:cm-test-9.9,22,4,1,0.25,3,1,1.0,0.0063,OK
image,Hexsia__Fiport-Portfolio__docker-compose.yml.yml,postgres,postgres:15-alpine,postgres:cm-test-9.9,58,5,1,0.2,4,1,1.0,0.0066,OK
image,HungTruong4689__Docker-and-Kubernetes__Docker_chapter-5-master_example-1_docker-compose.yml.yml,history,history,history:cm-test-9.9,35,6,1,0.166667,5,1,1.0,0.0075,OK
image,IT22277190__mtit-assignment2-hospital-microservices__docker-compose.yml.yml,mongodb,mongo:7.0,mongo:cm-test-9.9,284,11,1,0.090909,10,1,1.0,0.0108,OK
image,IkigaiLabsETH__ikigAI-Labs__db_docker-compose.yml.md.yml,db,mysql:8.0,mysql:cm-test-9.9,58,15,1,0.066667,14,1,1.0,0.0079,OK
image,JJ810__ecommerce-django-react__docker-compose.yml.yml,db,postgres:12.0-alpine,postgres:cm-test-9.9,35,6,1,0.166667,5,1,1.0,0.0067,OK
image,JMaynor__Dolores__docker-compose.yml.yml,dolores,ghcr.io/jmaynor/dolores:latest,ghcr.io/jmaynor/dolores:cm-test-9.9,71,9,1,0.111111,8,1,1.0,0.0074,OK
image,Jasonljy90__RabbitMQ-Project__docker-compose.yml.yml,rabbitmq,rabbitmq:3-management-alpine,rabbitmq:cm-test-9.9,29,20,1,0.05,19,1,1.0,0.0061,OK
image,JeremiahM37__homelab-blueprint__docker-compose.example.yml.yml,audiobookshelf,ghcr.io/advplyr/audiobookshelf:latest,ghcr.io/advplyr/audiobookshelf:cm-test-9.9,721,108,1,0.009259,107,1,1.0,0.0231,OK
image,JessicaNathany__rinha-de-backend-2025__deploy_docker-compose.yml.yml,backend-api-1,jnathany/rinha-backend-2025:latest,jnathany/rinha-backend-2025:cm-test-9.9,94,11,1,0.090909,11,0,1.0,0.0075,OK
image,Jianxuan-Li__dev-in-docker__python3-nginx_docker-compose.yml.yml,stack-build,freeyeti/dev-in-docker:python3-nginx,freeyeti/dev-in-docker:cm-test-9.9,8,2,1,0.5,1,1,1.0,0.0065,OK
image,Jokerkraft__Sistema-De-Inventarios__docker-compose.yml.yml,mysql,mysql:8.4,mysql:cm-test-9.9,24,3,1,0.333333,2,1,1.0,0.0072,OK
image,JonasB11__KarteiCard__docker-compose.yml.yml,db,mysql:8.4,mysql:cm-test-9.9,33,4,1,0.25,3,1,1.0,0.0072,OK
image,JoshDunnDev__farmy-fish-fry__docker-compose.yml.yml,db,postgres:15-alpine,postgres:cm-test-9.9,81,23,1,0.043478,22,1,1.0,0.0077,OK
image,JosueCoto2__AgroflexSOA__docker-compose.yml.yml,mysql,mysql:8.0,mysql:cm-test-9.9,270,77,1,0.012987,76,1,1.0,0.0107,OK
image,K-Vincetti__autoRUZ__s2_db_hw_by_presentations_influxDb_docker-compose.yml.yml,explorer,influxdata/influxdb3-ui:1.6.2,influxdata/influxdb3-ui:cm-test-9.9,30,2,1,0.5,1,1,1.0,0.0057,OK
image,KARTHIK-BATTIPROLU__Agentic-Resume-Tailor__overleaf_services_notifications_docker-compose.yml.yml,mongo,mongo:8.0.11,mongo:cm-test-9.9,67,11,1,0.090909,10,1,1.0,0.0064,OK
image,KamiALK__docker__databases_postgres_graph_docker-compose.yml.yml,music_db,apache/age:release_PG16_1.5.0,apache/age:cm-test-9.9,42,12,1,0.083333,11,1,1.0,0.0054,OK
image,Karnemorkon__matrix-dendrite-setup__docker-compose.yml.yml,admin-panel,morkon06/matrix-dendrite-setup-admin-panel:latest,morkon06/matrix-dendrite-setup-admin-panel:cm-test-9.9,264,68,1,0.014706,67,1,1.0,0.0074,OK
image,L-rrrr__PapiBank__docker-compose.yml.yml,db,postgres:16,postgres:cm-test-9.9,31,4,1,0.25,3,1,1.0,0.0047,OK
image,LegitCamper__homelab__homeserver_docker_compose.yml.yml,audiobookshelf,ghcr.io/advplyr/audiobookshelf:2.35.1,ghcr.io/advplyr/audiobookshelf:cm-test-9.9,1005,142,1,0.007042,141,1,1.0,0.0216,OK
image,LiReyes__todo-api__docker-compose.yml.yml,db,mariadb:10.4.32,mariadb:cm-test-9.9,37,23,1,0.043478,22,1,1.0,0.0051,OK
image,ListerStellar__financial-tracker__docker-compose.yml.yml,db,postgres:15,postgres:cm-test-9.9,28,15,1,0.066667,14,1,1.0,0.0049,OK
image,LuchnikKek__Team_Auth_sprint_2__docker-compose.yml.yml,auth_postgres,postgres:15,postgres:cm-test-9.9,171,26,1,0.038462,25,1,1.0,0.0074,OK
image,Lustyn__kats__docker-compose.yml.yml,nats,nats:latest,nats:cm-test-9.9,14,2,1,0.5,1,1,1.0,0.0047,OK
image,MT-TEAM-Org__batch__docker-compose.yml.yml,app,${DOCKER_USERNAME}/play-hive-batch-prod:latest,${DOCKER_USERNAME}/play-hive-batch-prod:cm-test-9.9,50,37,1,0.027027,37,0,1.0,0.0048,OK
image,MaHryCT3__whitelist_backend__docker-compose.yml.yml,bot,bot,bot:cm-test-9.9,39,4,1,0.25,3,1,1.0,0.005,OK
image,MangwaleDev__searchv2__docker-compose.yml.yml,search-adminer,adminer:4,adminer:cm-test-9.9,384,74,1,0.013514,73,1,1.0,0.0108,OK
image,MariaNosareva__backend-course__rabbitmq_topic-example_docker-compose.yml.yml,rabbit,rabbitmq,rabbitmq:cm-test-9.9,20,10,1,0.1,9,1,1.0,0.0036,OK
image,Marukunai__alfresco__Alfresco_Ejercicio1_ejercicio_docker_docker-compose.yml.yml,ejercicio-acs,alfresco-content-services-ejercicio:development,alfresco-content-services-ejercicio:cm-test-9.9,67,10,1,0.1,9,1,1.0,0.006,OK
image,Marwan051__final-project-database__docker-compose.yml.yml,pgadmin,dpage/pgadmin4:9.5.0,dpage/pgadmin4:cm-test-9.9,47,4,1,0.25,3,1,1.0,0.0053,OK
image,MateuszRostek__book-store__docker-compose.yml.yml,mysqldb,mysql:8.2.0,mysql:cm-test-9.9,32,8,1,0.125,7,1,1.0,0.0049,OK
image,MatiasJurgenson__ComfyUI-on-AMD-Linux-running-in-Podman__docker-compose.yml.yml,comfyk,comfyui:latest,comfyui:cm-test-9.9,47,22,1,0.045455,21,1,1.0,0.005,OK
image,MdMurad-102__nestJsTemplete__docker-compose.yml.yml,db,postgres:16-alpine,postgres:cm-test-9.9,41,7,1,0.142857,6,1,1.0,0.0046,OK
image,MenkoyS__3PROJ__docker-compose.yml.yml,backend,3proj-backend:dev,3proj-backend:cm-test-9.9,90,11,1,0.090909,10,1,1.0,0.0055,OK
image,Mingo07-dev__n8n_workflows__docker-compose.yml.yml,n8n,docker.n8n.io/n8nio/n8n:latest,docker.n8n.io/n8nio/n8n:cm-test-9.9,50,6,1,0.166667,5,1,1.0,0.0053,OK
image,Morlock52__psscript-manager__psscript-test-20250731011322_docker-compose.yml.yml,test-db,postgres:15-alpine,postgres:cm-test-9.9,23,4,1,0.25,3,1,1.0,0.0062,OK
image,MrTorriz__homelab__docker_compose.yml.yml,adguardhome,adguard/adguardhome,adguard/adguardhome:cm-test-9.9,785,123,1,0.00813,122,1,1.0,0.0201,OK
image,NikolaiLutsenko__Rhino.OAuth2__docker-compose.yml.yml,db,mysql:8.0.19,mysql:cm-test-9.9,31,9,1,0.111111,8,1,1.0,0.0055,OK
image,NuttyShrimp__bachelor-thesis-poc__benchmark_docker-compose.yml.yml,cadvisor,gcr.io/cadvisor/cadvisor:latest,gcr.io/cadvisor/cadvisor:cm-test-9.9,262,42,1,0.02381,41,1,1.0,0.009,OK
image,Oliver0804__docker_phpmyadmin__docker-compose.yml.yml,db,mysql,mysql:cm-test-9.9,28,15,1,0.066667,15,0,1.0,0.0051,OK
image,OneUptime__oneuptime__docker-compose.base.yml.yml,clickhouse,clickhouse/clickhouse-server:26.7,clickhouse/clickhouse-server:cm-test-9.9,559,162,1,0.006173,161,1,1.0,0.0145,OK
image,PacktPublishing__Building-Smart-Home-Automation-Solutions-with-Home-Assistant__Chapter_08_docker-compose.yml.yml,chronograf,chronograf:latest,chronograf:cm-test-9.9,176,82,1,0.012195,81,1,1.0,0.0065,OK
image,PacktPublishing__PHP-8-Programming-Cookbook__docker-compose.yml.bak.yml,mysql,unlikelysource/mysql_img,unlikelysource/mysql_img:cm-test-9.9,67,6,1,0.166667,5,1,1.0,0.0053,OK
image,Payum__PayumServer__docker-compose.yml.dist.yml,mongo,mongo,mongo:cm-test-9.9,13,4,1,0.25,3,1,1.0,0.0044,OK
image,PelionIoT__pelion-edge-provisioner__docker-compose.yml.yml,mongo,mongo:$MONGO_VERSION,mongo:cm-test-9.9,35,8,1,0.125,7,1,1.0,0.0047,OK
image,PeterNguyenX__AI-ActivEdu-thesis__Others_docker-compose.yml.yml,mysql,mysql:8.0,mysql:cm-test-9.9,76,13,1,0.076923,12,1,1.0,0.005,OK
image,PhuongDongIOT__restaurant__containers_kong_3_debian-12_docker-compose.yml.yml,kong,docker.io/bitnami/kong:3,docker.io/bitnami/kong:cm-test-9.9,24,4,1,0.25,3,1,1.0,0.0045,OK
image,PoeenCy__NFStream-CIC-IDS-Pipeline__docker-compose.yml.yml,extractor,poeency/nfstream-cic-ids-pipeline,poeency/nfstream-cic-ids-pipeline:cm-test-9.9,13,7,1,0.142857,6,1,1.0,0.0043,OK
image,ProjektZespolowyMetro__METRO__docker-compose.yml.yml,backend,metro-backend:latest,metro-backend:cm-test-9.9,101,25,1,0.04,24,1,1.0,0.0054,OK
image,ProtocolONE__s3-proxy__docker_docker-compose.yml.yml,s3-minio,minio/minio,minio/minio:cm-test-9.9,11,2,1,0.5,1,1,1.0,0.003,OK
image,ProudRykar__MTUCI-Course_3-Fullstack__docker-compose.yml.yml,frontend-dev,node:22-alpine,node:cm-test-9.9,140,29,1,0.034483,28,1,1.0,0.0057,OK
image,Prushka__Recipe-Fullstack__docker-compose.yml.yml,backend,meinya/recipe-be,meinya/recipe-be:cm-test-9.9,34,7,1,0.142857,6,1,1.0,0.0046,OK
image,Qauttrolab__paperless-ngx-synology-setup__docker-compose-ds723.yml.yml,backup-runner,alpine:3.15,alpine:cm-test-9.9,541,426,1,0.002347,425,1,1.0,0.009,OK
image,RJWALICZEK__iot-monitor__docker-compose.yml.yml,pgadmin,dpage/pgadmin4,dpage/pgadmin4:cm-test-9.9,41,12,1,0.083333,11,1,1.0,0.0047,OK
image,RadovanBulla1304__DP_OtazkovySystem_v2__docker-compose.yml.yml,mongo,mongo,mongo:cm-test-9.9,48,1,1,1.0,0,1,1.0,0.0036,OK
