tool,file,status,unknown_service_property,unknown_top_level_section,x_top_security,x_top_logging,x_service_meta
composemorph,Hamada-khairi__Hamada-HomeLab__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Hamada-khairi__Hamada-HomeLab__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Hamada-khairi__Hamada-HomeLab__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Heretek-AI__heretek-stacks__arcane-repo_templates_chiefonboarding_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Heretek-AI__heretek-stacks__arcane-repo_templates_chiefonboarding_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Heretek-AI__heretek-stacks__arcane-repo_templates_chiefonboarding_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Hexsia__Fiport-Portfolio__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Hexsia__Fiport-Portfolio__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Hexsia__Fiport-Portfolio__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,HungTruong4689__Docker-and-Kubernetes__Docker_chapter-5-master_example-1_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,HungTruong4689__Docker-and-Kubernetes__Docker_chapter-5-master_example-1_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,HungTruong4689__Docker-and-Kubernetes__Docker_chapter-5-master_example-1_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,IT22277190__mtit-assignment2-hospital-microservices__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,IT22277190__mtit-assignment2-hospital-microservices__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,IT22277190__mtit-assignment2-hospital-microservices__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,IkigaiLabsETH__ikigAI-Labs__db_docker-compose.yml.md.yml,OK,True,True,True,True,True
yamlcpp-careful,IkigaiLabsETH__ikigAI-Labs__db_docker-compose.yml.md.yml,OK,True,True,True,True,True
yamlcpp-naive,IkigaiLabsETH__ikigAI-Labs__db_docker-compose.yml.md.yml,OK,False,True,True,True,False
composemorph,JJ810__ecommerce-django-react__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,JJ810__ecommerce-django-react__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,JJ810__ecommerce-django-react__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,JMaynor__Dolores__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,JMaynor__Dolores__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,JMaynor__Dolores__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Jasonljy90__RabbitMQ-Project__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Jasonljy90__RabbitMQ-Project__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Jasonljy90__RabbitMQ-Project__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,JeremiahM37__homelab-blueprint__docker-compose.example.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,JeremiahM37__homelab-blueprint__docker-compose.example.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,JeremiahM37__homelab-blueprint__docker-compose.example.yml.yml,OK,False,True,True,True,False
composemorph,JessicaNathany__rinha-de-backend-2025__deploy_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,JessicaNathany__rinha-de-backend-2025__deploy_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,JessicaNathany__rinha-de-backend-2025__deploy_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Jianxuan-Li__dev-in-docker__python3-nginx_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Jianxuan-Li__dev-in-docker__python3-nginx_docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Jianxuan-Li__dev-in-docker__python3-nginx_docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,Jokerkraft__Sistema-De-Inventarios__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,Jokerkraft__Sistema-De-Inventarios__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,Jokerkraft__Sistema-De-Inventarios__docker-compose.yml.yml,OK,False,True,True,True,False
composemorph,JonasB11__KarteiCard__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-careful,JonasB11__KarteiCard__docker-compose.yml.yml,OK,True,True,True,True,True
yamlcpp-naive,JonasB11__KarteiCard__docker-compose.yml.yml,OK,False,True,True,True,False
