environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
0,4,0,EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,505,,0,2,4,17006,3,networks;services;volumes,0,7,6
0,0,0,EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,9,,0,0,2,174,1,services,0,0,4
0,0,0,Erfan-ffa__UrlShortner-DistributedSystem-__docker-compose.yml.yml,73,,0,6,6,1529,4,networks;services;version;volumes,0,3,5
1,1,0,EviL345__praktika_bot__docker-compose.yml.yml,48,,0,1,2,1066,4,networks;services;version;volumes,0,4,5
0,2,0,EvilFreelancer__docker-nextcloud__docker-compose.yml.dist.yml,59,,0,5,5,1543,2,services;version,0,11,4
0,1,0,FarhadAlimohammadi-dir__vulnrepro-benchmark__benchmark_release_public_case_000028_src_docker-compose.yml.yml,22,,0,1,1,462,3,services;version;volumes,0,1,5
0,2,0,Fayer00__metric_proyect__docker-compose.yml.yml,26,,0,2,2,529,2,services;volumes,0,3,4
2,0,0,Felix-gg-cloud__ClaudeWorkspace__projects_LinguaLeap_docker-compose.yml.yml,35,,0,3,2,801,2,services;volumes,0,3,5
2,0,0,FtHalima__Smart-Internship-Freelance-Matching-Platform__smart-match-backend_docker-compose.yml.yml,45,,0,3,3,1310,2,services;volumes,0,3,4
1,0,0,GEMILUXVII__github-telegram-bot__docker-compose.yml.yml,25,,0,1,1,668,2,services;version,0,2,5
3,0,0,GenessyX__open-gallery__docker-compose.yml.yml,68,,0,5,5,1575,1,services,0,1,5
0,2,0,GetxoUdala__decidim-getxo__docker-compose.yml.old.yml,91,,0,2,4,2854,3,networks;services;volumes,0,4,4
0,0,0,Goose1216__E-comerce_site__docker-compose.yml.yml,15,,0,2,2,229,2,services;version,0,0,4
0,0,0,GovindYadav15__chat-widget-client-demo__docker-compose.yml.yml,10,,0,1,1,207,2,services;version,0,0,4
2,0,0,Grazziano__api-adote-um-amigo__docker-compose.yml.yml,40,,0,2,2,717,4,networks;services;version;volumes,0,1,4
1,2,0,Guilher0__agro_monitor__docker-compose.yml.yml,128,,0,4,5,3895,3,networks;services;volumes,0,10,5
0,0,1,Gustav0Prado__trab-seguranca__docker-compose.yml.yml,46,,0,0,3,1085,3,networks;services;version,0,1,6
0,0,0,GustavAT__Votor__docker-compose.yml.old.yml,8,,0,0,1,133,2,services;version,0,0,4
0,2,0,HachimouAkram__examenQualiteLogiciel__docker-compose.yml.yml,37,,0,2,3,741,3,services;version;volumes,0,3,5
2,16,0,Hamada-khairi__Hamada-HomeLab__docker-compose.yml.yml,775,,0,14,22,31763,3,networks;services;volumes,0,44,6
0,0,0,Harshit-Setia__sales-insight-automator__docker-compose.yml.yml,27,,0,2,2,485,1,services,0,1,5
0,1,0,HassanTariqAlvi__React-NodeAPI-MySQL__docker-compose.yml.yml,41,,0,3,3,566,4,networks;services;version;volumes,0,1,4
0,0,0,Heretek-AI__heretek-stacks__arcane-repo_templates_chiefonboarding_docker-compose.yml.yml,22,,0,1,1,560,3,services;version;volumes,0,1,5
2,0,0,Hexsia__Fiport-Portfolio__docker-compose.yml.yml,58,,0,3,3,1417,2,services;volumes,0,2,5
0,2,0,HungTruong4689__Docker-and-Kubernetes__Docker_chapter-5-master_example-1_docker-compose.yml.yml,35,,0,2,2,798,2,services;version,0,5,4
2,0,0,INCEPTdk__omop_etl__docker-compose.yml.yml,48,,0,0,2,983,3,networks;services;version,0,2,5
0,7,0,IT22277190__mtit-assignment2-hospital-microservices__docker-compose.yml.yml,284,,0,9,9,6335,4,networks;services;version;volumes,0,1,6
0,0,0,IamHammadDevX__wfhlogger-AWS-S3__docker-compose.yml.yml,13,,0,1,1,274,1,services,0,3,4
3,0,0,IkigaiLabsETH__ikigAI-Labs__db_docker-compose.yml.md.yml,58,,0,4,4,1779,2,services;version,0,0,5
0,0,0,JJ810__ecommerce-django-react__docker-compose.yml.yml,35,,0,1,3,638,3,services;version;volumes,0,5,4
0,2,0,JMaynor__Dolores__docker-compose.yml.yml,71,,0,1,2,2199,3,name;networks;services,0,1,4
0,0,0,Jasonljy90__RabbitMQ-Project__docker-compose.yml.yml,29,,0,2,1,544,3,networks;services;version,0,2,4
